audio_file|text|speaker_name|emotion_name
segments/segment_03118.wav|不要，我不要去这样坐在你的腰上。撑起。|female|neutral
segments/segment_03501.wav|哦，哦。嗯。|female|neutral
segments/segment_00214.wav|哦。|female|neutral
segments/segment_12177.wav|我趴着。|female|neutral
segments/segment_04952.wav|顶的更高更大的呢？那妈妈先用手。|female|neutral
segments/segment_02954.wav|也不是那么的强烈。|female|neutral
segments/segment_09627.wav|先放松一下。|female|neutral
segments/segment_02455.wav|我那里又湿又滑。|female|neutral
segments/segment_05117.wav|如果姐姐吸一口烟。再吐到你嘴里。你会呛到吗嗯？|female|neutral
segments/segment_05922.wav|哦。|female|neutral
segments/segment_01766.wav|安眠药。|female|neutral
segments/segment_05688.wav|嗯嗯。啊。啊。 我老公老公，这样觉得太快了啊。|female|neutral
segments/segment_03574.wav|嗯。|female|neutral
segments/segment_07238.wav|花魁啊。|female|neutral
segments/segment_06072.wav|啊，主人的精液都射进来了。哦。嗯。|female|neutral
segments/segment_09750.wav|过来吧。|female|neutral
segments/segment_06832.wav|你插的太深。|female|neutral
segments/segment_08771.wav|无敌|female|neutral
segments/segment_05286.wav|我把姐姐的逼唇了。|female|neutral
segments/segment_03971.wav|都要把姐姐的G点操掉了。|female|neutral
segments/segment_06290.wav|哦。哦。|female|neutral
segments/segment_11996.wav|哦。|female|neutral
segments/segment_04299.wav|这个孩子生下来，你肯定会帮我养的吧。|female|neutral
segments/segment_01897.wav|骚逼，骚逼太爽了。哦。啊，啊，啊。|female|neutral
segments/segment_08587.wav|嗯。|female|neutral
segments/segment_08330.wav|嗯。|female|neutral
segments/segment_05496.wav|你怎么就突然舔人家？|female|neutral
segments/segment_01201.wav|好强烈。|female|neutral
segments/segment_00647.wav|哎。哎呀。|female|neutral
segments/segment_10815.wav|嗷。|female|neutral
segments/segment_11132.wav|还有你的蛋蛋。|female|neutral
segments/segment_00736.wav|你不会知道了吧。|female|neutral
segments/segment_11694.wav|不啊，爽死我了啊。|female|neutral
segments/segment_12081.wav|你别。|female|neutral
segments/segment_11873.wav|啊，小雷。|female|neutral
segments/segment_10236.wav|哦。|female|neutral
segments/segment_06912.wav|就在隔壁啊。|female|neutral
segments/segment_12241.wav|用力操。|female|neutral
segments/segment_07171.wav|啊。|female|neutral
segments/segment_10744.wav|我就喜欢这样。|female|neutral
segments/segment_04962.wav|哪里是大腿呢？儿子？|female|neutral
segments/segment_02154.wav|就隔着丝袜。舔一下姐姐的脚趾。|female|neutral
segments/segment_09787.wav|是不是很舒服呀嗯？|female|neutral
segments/segment_07732.wav|嗯。嗯，停停下，快停下。|female|neutral
segments/segment_09082.wav|哦，好。|female|neutral
segments/segment_07336.wav|哦。|female|neutral
segments/segment_09117.wav|啊。|female|neutral
segments/segment_04139.wav|哦哦哦哦啊，老公，我被他们操的好过瘾呐啊，他们大鸡巴太厉害了啊，老公，你看到了吗？|female|neutral
segments/segment_02325.wav|我都不记得。我高潮多少次了？|female|neutral
segments/segment_06339.wav|啊，啊啊啊。|female|neutral
segments/segment_07272.wav|再往轻一点吗？|female|neutral
segments/segment_06037.wav|操死我这条母狗|female|neutral
segments/segment_09713.wav|真是个没用的东西呀。听到说女王奖励你就这么卖力啦。|female|neutral
segments/segment_00031.wav|我天哪？|female|neutral
segments/segment_09806.wav|不过。|female|neutral
segments/segment_12270.wav|快，喜欢操姐的大肥逼吗啊？|female|neutral
segments/segment_03210.wav|嗯。嗯，哼。|female|neutral
segments/segment_09566.wav|呵呵呵。|female|neutral
segments/segment_03601.wav|不是吗啊。|female|neutral
segments/segment_07391.wav|真魔女。居然这么厉害。以女子的身段。居然能把六扇门。|female|neutral
segments/segment_11602.wav|我已经说得很清楚了。这道题你要从这里。|female|neutral
segments/segment_01643.wav|操逼的时候。|female|neutral
segments/segment_05682.wav|啊。老公|female|neutral
segments/segment_01022.wav|哦，哦，哦，啊，啊。什么？|female|neutral
segments/segment_01825.wav|嗯。|female|neutral
segments/segment_07377.wav|舒服，|female|neutral
segments/segment_09191.wav|啊，你不臭啊。还有别人来操呢。看到了吗？这个人就是我的好老公。|female|neutral
segments/segment_01275.wav|别在孩子面前做。|female|neutral
segments/segment_00050.wav|哦。爽死我了。啊啊，水都喷出来了。哦。|female|neutral
segments/segment_11752.wav|啊，不。|female|neutral
segments/segment_00483.wav|呃，主人。|female|neutral
segments/segment_03027.wav|求求你了。你别说了。|female|neutral
segments/segment_06112.wav|直接含住。然后说嘛。|female|neutral
segments/segment_02407.wav|喜欢。|female|neutral
segments/segment_10149.wav|啊啊。|female|neutral
segments/segment_07767.wav|你的肉棒怎么又好硬了？|female|neutral
segments/segment_07335.wav|嗯，呵呵。|female|neutral
segments/segment_10832.wav|要是觉得困的话。那就睡吧。躺在我的怀里。我会好好的。搂着你的。|female|neutral
segments/segment_00653.wav|我的小穴淫水都沾在哥哥的手上了呢。|female|neutral
segments/segment_00979.wav|休斯顿地面中心唤醒了飞船上的柯林斯和登月舱中的两。两名宇航员。|female|neutral
segments/segment_09921.wav|你个废物，你给我坚持住啊。再坚持一下哎呀。废物。|female|neutral
segments/segment_04404.wav|太敏感了。嗯|female|neutral
segments/segment_10956.wav|就算是在我交往的几任男朋友当中。也是拔尖的呢。|female|neutral
segments/segment_01369.wav|你送给了他那些壮阳药。|female|neutral
segments/segment_01421.wav|弄得人家好辛苦。哦，哦，嗯，嗯，嗯。|female|neutral
segments/segment_11395.wav|你刚才在干什么呀？坏死了。一直刺激。|female|neutral
segments/segment_06466.wav|啊。|female|neutral
segments/segment_05032.wav|我也想要儿子，你多陪陪我。|female|neutral
segments/segment_06550.wav|很讨厌。|female|neutral
segments/segment_07298.wav|请你把上面的阴蒂。你也挠一挠好吗？头好痒啊。|female|neutral
segments/segment_06730.wav|亲一下。|female|neutral
segments/segment_11999.wav|那。你下次还来找我吧。留个电话。|female|neutral
segments/segment_11298.wav|我们一起高潮。老公，老公，老公。快将你的肉棒插进来|female|neutral
segments/segment_00299.wav|哦，我没做什么呀。我在吃东西呢。啊，小王啊，他拿了一些特产来给我尝尝。|female|neutral
