audio_path,text
segments/segment_002459.wav,嗯。嗯
segments/segment_002658.wav,儿子，你看你的大鸡巴真的已经变得红彤彤的了。
segments/segment_001731.wav,我是淫荡的女人了啊，老公。
segments/segment_000785.wav,嗯。
segments/segment_006311.wav,是你呀。没想到你会给我打电话呢。
segments/segment_003265.wav,小骚货一直都爱吃主人的屁眼。
segments/segment_002735.wav,儿子的鸡巴。
segments/segment_000512.wav,现在好了。老娘被李局长批评了。
segments/segment_002181.wav,都要把姐姐的G点操掉了。
segments/segment_000208.wav,不可能。我爸爸很爱我的。什么？
segments/segment_006410.wav,我可从来没这么喷过。
segments/segment_004009.wav,那这一次也让小女子
segments/segment_001860.wav,嗯嗯啊。
segments/segment_003664.wav,意不意外。惊不惊喜啊。
segments/segment_005615.wav,就这样舔的。是不是？
segments/segment_000143.wav,烫掉我的小骚逼。啊。
segments/segment_002841.wav,姐姐，感觉你鸡巴更大了。你是不是想操逼了？
segments/segment_005133.wav,小明，刚才公司忽然来电话，说要紧急的事情。我需要过去处理一下才行。
segments/segment_005514.wav,我。
segments/segment_003402.wav,弄的内裤和袜子。黏黏糊糊的。
segments/segment_001994.wav,放我去洗澡。你不准碰我。
segments/segment_004190.wav,这样我会觉得很羞耻的儿子，你放过我，我不要看着你。
segments/segment_001452.wav,还想让你的骚鸡巴操呢？
segments/segment_003025.wav,不是。不要
segments/segment_005571.wav,来。
segments/segment_005852.wav,已经是适应了吗？嗯？那个。
segments/segment_003083.wav,你干嘛嗯？
segments/segment_002825.wav,就直接说嘛。别不好意思呀。
segments/segment_001333.wav,对，我好舒服啊。
segments/segment_000228.wav,主人的肉棒。在激动的抖动了呢。
segments/segment_005562.wav,小狗狗的棒棒又要射出来了吗？
segments/segment_000084.wav,啊，被一些小姑娘看到。可是会把他们吓坏了呢哦嗯。
segments/segment_000963.wav,我要上天了。嗯嗯嗯。哦。啊，啊，啊。
segments/segment_003188.wav,人家好高兴啊。
segments/segment_003175.wav,这样一边被主人操着骚逼，
segments/segment_001232.wav,啊，我好想你的精液射到我的脸上，老公。老公老公。
segments/segment_003607.wav,这姿势好淫荡啊
segments/segment_000911.wav,不要突然贴进我的喉咙里。会受不了的。
segments/segment_003324.wav,啊，主人主人不要停，fuck，fuck，操死我这条母狗哦。
segments/segment_000921.wav,快射给儿媳妇，射我嘴里。
segments/segment_005738.wav,哦。哇，哇，嗷。啊。哼。
segments/segment_002481.wav,哦，哦哦哦，再快一点
segments/segment_002918.wav,汗流的越来越多了。
segments/segment_004995.wav,哎呀，儿子可没有像你这么个傻逼玩意儿，不会善解人意。
segments/segment_004210.wav,我一直都喷到你的肉棒上了。天呐，儿子，你的肉棒也在抖动了。嗯。
segments/segment_001832.wav,啊。啊。
segments/segment_004665.wav,放过我。放看我吧。嗯嗯。
segments/segment_003535.wav,哎，臭臭的。有好多包皮沟啊。
segments/segment_002380.wav,这个孩子生下来，你肯定会帮我养的吧。
segments/segment_006498.wav,我的鞋子在摩擦我的乳头呢，
segments/segment_001793.wav,嗯嗯。嗯嗯。花。
segments/segment_000213.wav,好女儿。你呀。
segments/segment_004844.wav,快走。快走。快点儿。感觉小穴的内壁。那都在颤抖了。
segments/segment_005962.wav,对你的精液玷污掉。啊，对，快一点。快点。老公
segments/segment_002522.wav,我经常被他干到痴迷的
segments/segment_003109.wav,老公，你看起来。
segments/segment_002843.wav,你说你都脱光了，我还穿着裙子呀，这对你不公平。
segments/segment_003088.wav,接下来的事情啊。就全部交给我。
segments/segment_006167.wav,哦哦哦，好舒服，你从后面拉着我的小子。
segments/segment_004294.wav,去吧，快点出门啊。今天爸爸为了送咱们去学校啊，都要迟到了。
segments/segment_001109.wav,但是老公，你知道的呀。人家其实就是个大骚逼。
segments/segment_001201.wav,特别喜欢这样吗？以前的女朋友在床上。也叫你爸爸。
segments/segment_003645.wav,逼逼痒的不行了我的奶头也好痒，你
segments/segment_000060.wav,就是这样拿出你作为男人的主动。
segments/segment_005927.wav,嗯。嗯。啊。
segments/segment_000725.wav,嗯。啊。啊。嗯。啊。啊。嗯
segments/segment_002544.wav,我不是人人都可以操的婊子。
segments/segment_006454.wav,好变态。
segments/segment_004731.wav,你不要在我耳边吹气太敏感了。
segments/segment_001578.wav,龟头顶在菊花上感觉。好奇怪啊。
segments/segment_005636.wav,老公。
segments/segment_001560.wav,还是有些不习惯。
segments/segment_005396.wav,好，老公。小梅知道你最疼小梅了。
segments/segment_002391.wav,好了，
segments/segment_003127.wav,哦。
segments/segment_004828.wav,啊，啊。是。是。我是婊子。我是勾引你们三个的婊子。
segments/segment_000047.wav,啊。哇。
segments/segment_004613.wav,好大。哎呀，要被撑完了。啊，好疼。
segments/segment_001773.wav,啊。嗯，哼嗯。
segments/segment_006442.wav,好湿。
segments/segment_002388.wav,哇，你看这个草莓好大好甜哦。
segments/segment_001611.wav,你的肉棒真是太大了。
segments/segment_000730.wav,啊。嗯。啊。啊。
segments/segment_005448.wav,被瑞使劲操呢啊。
segments/segment_002204.wav,啊，弟弟，你是马上就要射了吗？
segments/segment_004908.wav,小助理。啊，给我把身上的汗也擦一擦，我胳膊没劲儿。抬不起来了。
segments/segment_003184.wav,哦。啊啊。 啊。啊
segments/segment_002427.wav,你的手姐不要再夹了。
segments/segment_005943.wav,好深啊。哦，哇。
segments/segment_000116.wav,我真舒服你啊。
segments/segment_001914.wav,嗯。哦。
segments/segment_000354.wav,欲望就在那小区里抽查。上班了吧嗯。
segments/segment_006445.wav,啊，我的乳头哦。
segments/segment_003513.wav,你怎么直接就进去了？
segments/segment_006391.wav,姐姐，是你的骚母狗，你想操就操，想打就打。
segments/segment_001430.wav,哎，两根手指现在已经满足不了了。啊。我需要插进三根手指。好好舔。
segments/segment_005639.wav,那不行啊。那快感实在是太强硬了。啊
segments/segment_000052.wav,嗯，对吗？这才是我认识的王三炮。
segments/segment_001833.wav,嗯嗯。
segments/segment_003301.wav,是天生的狗。是条天生欠操的骚母狗。
segments/segment_005978.wav,你想要用你的肉棒，好好的摩擦，我的丝袜脚。
segments/segment_005862.wav,啊
segments/segment_001637.wav,快快。射射射射
segments/segment_005361.wav,说我浪
segments/segment_001992.wav,我这几天都不是安全期啊。如果真的幻怀上了。我不会饶了你的。
segments/segment_002885.wav,你看到姐姐的逼缝了吗？诱惑不。
segments/segment_002082.wav,嗯嗯嗯。哼。
segments/segment_000875.wav,啊，混蛋老公。
segments/segment_005391.wav,是想射出来的吗？啊，这个不行。
segments/segment_003542.wav,啊，我一会儿
segments/segment_005247.wav,不错嘛。
segments/segment_006057.wav,要达到高潮了吧啊。
segments/segment_002273.wav,来操我，操我。。
segments/segment_001226.wav,最后他才重新把我抱回卧室。
segments/segment_004645.wav,啊，好多啊。
segments/segment_006208.wav,你这傻孩子。都已经上高中了。这种天气出门。却连他围巾都不知道戴呀。
segments/segment_005333.wav,让西西继续舔小梅的脚。
segments/segment_002233.wav,虽然我已经结婚了。
segments/segment_002680.wav,你看他他变的好大。
segments/segment_003141.wav,噢噢噢。
segments/segment_000071.wav,我就喜欢你大鸡巴这股骚骚的味道。
segments/segment_003233.wav,啊，主人再操的深一点，再用力一点。
segments/segment_000592.wav,天啊，碰到人家敏感的地方了。嗯。
segments/segment_005822.wav,舔你的龟头好不好？
segments/segment_003076.wav,嗯。嗯。
segments/segment_000680.wav,啊，啊。啊，啊，啊。
segments/segment_004479.wav,我的乖儿子。
segments/segment_004719.wav,插的好深呢。
segments/segment_004291.wav,啊。老公。今天早上早饭好吃吗？
segments/segment_003705.wav,你觉得我听起来怪怪的。
